#{"t_start": 1744769748.434291, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
270.0,3076,610.138448
375.0,3131,611.494511
490.0,3227,612.932015
245.0,2797,614.193038
315.0,2733,615.43757
285.0,2917,616.671027
325.0,3019,617.952847
475.0,4015,619.76072
435.0,2983,621.145283
485.0,3709,622.778485
225.0,2451,623.916488
185.0,2127,624.924067
360.0,2671,626.114213
355.0,2769,627.350591
445.0,3529,629.010873
380.0,2851,630.351513
135.0,2045,631.340266
255.0,2657,632.62423
330.0,3285,637.326708
550.0,4181,639.200412
365.0,3713,640.82296
230.0,3663,642.589217
220.0,3191,644.134988
250.0,2885,645.496359
260.0,2301,646.574085
225.0,4383,648.638747
270.0,3831,650.472512
190.0,3599,652.208033
185.0,3621,653.935127
735.0,4391,656.046957
705.0,4981,658.408083
270.0,2659,659.587958
285.0,3847,661.289351
465.0,3951,663.037373
345.0,4255,664.946011
510.0,3063,666.284344
285.0,3201,667.698206
480.0,4249,669.620122
100.0,2029,670.540151
155.0,1667,671.324414
350.0,3483,672.963197
310.0,4057,674.866911
210.0,3615,676.543756
385.0,4241,678.580274
155.0,1883,679.389123
235.0,2865,680.591861
450.0,4653,682.644694
560.0,3285,687.746144
460.0,4605,689.790272
630.0,4287,691.559165
295.0,3745,693.15983
635.0,4057,694.852545
365.0,3402,696.257599
335.0,3483,697.751333
360.0,4577,699.654125
565.0,3879,701.309715
120.0,2075,702.193842
270.0,2917,703.45951
355.0,3985,705.240606
500.0,5221,707.529589
425.0,4447,709.409743
590.0,3602,710.964805
650.0,4107,712.872854
410.0,2063,713.732453
330.0,3143,715.043721
955.0,5733,717.535573
340.0,3725,719.195045
600.0,5017,721.523782
235.0,2925,722.855458
275.0,2833,724.144086
335.0,3133,725.515445
335.0,2919,726.816888
490.0,3565,728.495777
690.0,4881,730.802312
410.0,3259,735.857387
555.0,3053,737.343245
440.0,2843,738.658685
725.0,5085,741.006695
340.0,3761,742.798302
375.0,3401,744.502573
465.0,3464,746.203367
460.0,3647,747.995072
330.0,3329,749.561806
465.0,4167,751.486815
245.0,3150,752.963372
410.0,3789,754.673616
270.0,2867,755.899062
300.0,2917,757.125459
320.0,3265,758.551655
530.0,3277,760.034727
275.0,3005,761.442587
620.0,4737,763.625808
570.0,3274,765.147693
515.0,3116,766.583244
345.0,4235,768.550527
410.0,3941,770.374031
250.0,2671,771.639083
420.0,3547,773.266883
135.0,2409,774.397198
375.0,3781,776.115747
485.0,2829,777.39677
365.0,3369,778.922878
540.0,2625,780.123199
415.0,4051,782.00174
330.0,2875,787.188645
305.0,2773,788.491092
805.0,5265,790.843382
600.0,6097,793.457332
800.0,5207,795.763843
290.0,3192,797.18883
290.0,3227,798.670156
650.0,4178,800.539447
265.0,3501,802.122413
250.0,2573,803.294753
240.0,2351,804.374278
350.0,2519,805.542301
330.0,3429,807.1178
885.0,5833,809.681287
310.0,3451,811.255476
725.0,6305,814.067415
300.0,3163,815.477354
485.0,3861,817.234701
360.0,3687,818.953277
285.0,2943,820.334401
350.0,3689,821.997924
445.0,3509,823.614011
470.0,3719,825.323106
510.0,4827,827.514877
175.0,2413,828.551739
225.0,2975,829.883803
285.0,3787,831.617771
405.0,3109,836.870293
325.0,3599,838.44123
290.0,3083,839.861979
800.0,5015,842.115733
530.0,3069,843.517152
725.0,3212,844.889885
335.0,2888,846.181052
225.0,2803,847.368829
720.0,3153,848.751324
750.0,2835,850.004496
290.0,2975,851.317148
400.0,3091,852.753588
285.0,2487,853.871404
355.0,2868,855.15976
415.0,4225,856.982435
655.0,3761,858.611651
540.0,4611,860.887512
240.0,2459,862.098298
330.0,3244,863.516077
575.0,4379,865.444294
320.0,2497,866.524565
190.0,2911,867.795849
175.0,2357,868.825135
420.0,3857,870.555827
355.0,2850,871.878353
380.0,3657,873.534274
390.0,3523,875.224383
370.0,3705,876.877174
670.0,3811,878.650333
1255.0,7915,886.844814
305.0,3053,888.169245
390.0,2637,889.399808
685.0,3969,891.160727
595.0,3757,892.9437
205.0,3233,894.524539
270.0,3048,895.921031
670.0,4907,898.032969
290.0,3568,899.698934
525.0,2881,900.998776
360.0,2830,902.288816
105.0,1737,903.100443
505.0,3505,904.715816
280.0,2885,906.044984
620.0,3661,907.760312
300.0,3176,909.215862
535.0,3469,910.850901
365.0,2625,912.05511
245.0,2399,913.150256
345.0,3173,914.624723
655.0,3881,916.434775
285.0,4472,918.527238
570.0,4499,920.562713
720.0,4865,922.792594
575.0,2707,924.049868
320.0,3319,925.642436
240.0,3075,927.128778
315.0,3082,928.660326
470.0,4347,930.733953
800.0,6053,938.406702
180.0,2779,939.807578
395.0,3635,941.622026
310.0,3655,943.438545
430.0,3421,945.053769
825.0,4905,947.345555
335.0,2947,948.806168
345.0,3221,950.395724
565.0,3052,951.905003
400.0,3061,953.435137
